sayfa_sayisi,satis_sayisi,fiyati,indirim_yuzdesi,puan,kazanc,yorum_sayisi,toplam_gun
182,195841,15.13,40.0,24,9.88,8540.0,578
144,28519,14.3,45.0,30,11.7,242.0,310
272,44680,20.57,40.0,34,13.43,1510.0,579
208,32705,18.15,40.0,32,11.85,914.0,1710
88,36393,9.08,40.0,14,5.93,1232.0,579
117,46462,4.58,45.0,10,3.75,1626.9999999999998,1745
208,12255,20.24,37.0,44,11.76,175.0,422
244,39145,11.99,40.0,20,8.01,1014.9999999999999,472
112,105099,6.17,35.0,10,3.33,4002.0,570
208,16021,14.4,40.0,28,9.6,271.0,62
274,35543,15.73,40.0,30,10.27,1433.0,578
120,21097,3.7,50.0,10,3.7,622.0,1788
31,24892,6.0,40.0,12,4.0,827.0,631
160,25742,17.86,36.0,30,10.14,458.0,1098
56,26654,4.58,45.0,10,3.75,778.0,682
208,7105,20.24,37.0,38,11.76,77.0,338
314,27016,18.15,40.0,36,11.85,884.0,497
56,9740,2.9,59.0,10,4.1,156.0,604
160,30336,16.62,36.0,28,9.38,427.0,451
48,13416,23.12,36.0,36,12.88,336.0,1599
117,14341,2.9,59.0,10,4.1,165.0,604
32,10951,6.0,40.0,12,4.0,311.0,730
36,19290,15.66,42.0,22,11.34,307.0,626
128,15471,9.08,40.0,14,5.93,317.0,792
328,29683,6.5,35.0,10,3.5,622.0,618
396,22838,21.18,40.0,42,13.83,777.0,435
112,18513,14.09,36.0,24,7.91,165.0,465
208,13269,20.24,37.0,44,11.76,167.0,598
64,18830,9.9,45.0,16,8.1,218.0,563
32,13937,7.19,40.0,14,4.81,481.0,730
208,16008,20.24,37.0,32,11.76,233.0,842
664,19949,29.25,35.0,52,15.75,692.0,434
24,5391,11.7,35.0,22,6.3,118.0,621
975,18544,39.0,35.0,66,21.0,685.0,425
96,11445,10.44,42.0,18,7.56,113.0,338
208,15071,20.24,37.0,36,11.76,193.0,401
224,11090,7.8,35.0,14,4.2,365.0,696
216,15125,20.24,37.0,32,11.76,184.0,842
